spacer.range	n.pairs	n.arrays	size_mean	size_max	size_sd	sizes
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	4
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	5
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	11
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	4
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	7
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	4
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	4
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	4
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	4
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	19
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	11
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	5
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	4
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	4
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	4
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	3
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	4
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
H_TAG_0	915	687	2.33187772925764	19	1.02329419870244	2
