5	7000001	8e+06	1.047716
5	8000001	9e+06	1.202398
5	9000001	1e+07	1.423563
5	10000001	1.1e+07	1.607774
5	11000001	1.2e+07	1.54396
5	12000001	1.3e+07	1.711425
5	13000001	1.4e+07	1.031534
5	14000001	1.5e+07	1.169548
5	15000001	1.6e+07	1.309341
5	16000001	1.7e+07	0.87965
5	17000001	1.8e+07	0.890769
5	18000001	1.9e+07	0.861203
5	19000001	2e+07	0.761407
5	20000001	2.1e+07	0.80043
5	21000001	2.2e+07	0.884106
5	22000001	2.3e+07	0.737822
5	23000001	2.4e+07	0.751907
5	24000001	2.5e+07	0.801712
5	25000001	2.6e+07	0.769205
5	26000001	2.7e+07	0.677976
5	27000001	2.8e+07	0.604059
5	28000001	2.9e+07	0.594559
5	29000001	29958434	0.80505491249267
6	1	1e+06	0.788449
6	1000001	2e+06	0.724672
6	2000001	3e+06	0.571401
6	3000001	4e+06	0.671185
6	4000001	5e+06	0.717779
6	5000001	6e+06	0.66757
6	6000001	7e+06	0.690011
6	7000001	8e+06	0.783271
6	8000001	9e+06	1.119532
6	9000001	1e+07	1.095914
6	10000001	1.1e+07	1.281589
6	11000001	1.2e+07	1.002846
6	12000001	1.3e+07	1.136116
6	13000001	1.4e+07	1.012785
6	14000001	1.5e+07	1.468991
6	15000001	1.6e+07	1.507675
6	16000001	1.7e+07	1.232652
6	17000001	1.8e+07	1.010011
6	18000001	1.9e+07	1.589417
6	19000001	2e+07	1.131363
6	20000001	2.1e+07	1.074052
6	21000001	2.2e+07	0.923651
6	22000001	2.3e+07	1.119122
6	23000001	2.4e+07	0.921438
6	24000001	2.5e+07	0.702461
6	25000001	2.6e+07	0.892655
6	26000001	2.7e+07	0.698199
6	27000001	2.8e+07	0.74679
6	28000001	2.9e+07	0.589618
6	29000001	3e+07	0.762122
6	30000001	3.1e+07	0.689246
6	31000001	31248787	0.637802618304011
7	1	1e+06	0.784724
7	1000001	2e+06	0.863927
7	2000001	3e+06	0.749482
7	3000001	4e+06	0.670507
7	4000001	5e+06	0.690921
7	5000001	6e+06	0.779283
7	6000001	7e+06	1.107919
7	7000001	8e+06	1.022423
7	8000001	9e+06	1.133289
